Year,Latitude,Longitude,baa3_n_pre,baa4_n_pre,baa_mean_pre,baa3_n_post,baa4_n_post,baa_mean_post
2014,18.310394,-65.3030705,1,0,1.833333333,1,0,1.833333333
2011,29.557669,34.951925,0,0,1.666666667,1,0,2
2015,29.557669,34.951925,1,0,2,2,0,2.166666667
2015,28,-81,0,0,1,0,0,1.666666667
2008,25.885066,51.5360368,0,0,1.666666667,0,0,1.333333333
2016,29.5,34.5,4,0,2.5,5,1,3
2016,24.9848529,-80.560895,2,0,2.166666667,3,0,2.5
2011,19.1222634,-104.0072348,0,0,1.5,2,2,2.666666667
2011,29.557669,34.951925,0,0,1.666666667,1,0,2
2003,25.0273356,-81.5357506,0,0,1.5,2,0,1.833333333
2010,25.4824229,-80.2083103,0,0,1.666666667,0,0,1.666666667
2014,25.7635036,-80.1917678,0,0,1.5,0,0,1.666666667
2015,19.6897268,-80.0367259,1,0,1.833333333,1,0,1.833333333
2013,-6.1195318,39.166397,0,0,1.833333333,1,0,2
2014,18.3062674,-65.3317217,1,0,1.833333333,1,0,1.833333333
2015,18.310394,-65.3030705,1,0,1.833333333,1,0,2
2001,25.0273356,-81.5357506,0,0,1.666666667,1,0,1.5
2014,25.0273356,-81.5357506,1,0,2,2,0,2.333333333
2016,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.166666667
2010,32.9610847,132.5055746,2,0,2.333333333,1,0,1.833333333
2016,-4.3314832,55.6620239,1,1,2,2,1,2.166666667
2000,12.1224221,-68.8824233,1,0,1.833333333,3,0,2.166666667
2010,20.4239255,136.0750591,0,0,1.5,0,0,1.666666667
2004,26.199204,127.2784676,2,1,2,1,0,2
2009,16.2040011,120.0408687,1,0,1.333333333,1,0,1.833333333
2009,29.557669,34.951925,0,0,1.666666667,1,0,1.833333333
2005,51.9244201,4.4777326,1,1,2,1,0,1.666666667
2006,18.458202,-77.3984704,0,0,1.333333333,0,0,1.5
1987,13.455407,144.6451455,0,0,1,0,0,1.5
2001,9.0797213,123.2714292,0,0,1.5,0,0,1.333333333
2004,11.1572078,123.8081288,0,0,1.5,0,0,1.5
2000,29.557669,34.951925,0,0,1.166666667,0,0,1.166666667
2014,0.6246932,123.9750018,1,0,2,0,0,1.666666667
2008,13.9968809,48.184644,0,0,1.833333333,0,0,1.833333333
2018,18.3189059,-68.7512681,0,0,1.333333333,0,0,1.75
2010,16.3425356,119.8927296,0,0,1.5,1,0,2
2010,16.3425356,119.8927296,0,0,1.5,1,0,2
2003,22.0008277,120.7447638,1,0,1.833333333,0,0,1.5
2011,24.4064027,124.1754442,1,0,1.5,2,1,2.166666667
2000,28,-81,0,0,1.166666667,1,0,1.166666667
2014,1.2232435,103.8611194,0,0,1.333333333,0,0,1.166666667
2014,20.699641,-105.5701537,4,2,3,5,3,3.333333333
2010,25.4824229,-80.2083103,0,0,1.666666667,0,0,1.666666667
2017,28,-81,0,0,1.166666667,0,0,1.6
2004,16.3425356,119.8927296,0,0,1,0,0,1.333333333
2009,9.8093311,125.4535399,0,0,1.166666667,0,0,1.666666667
2003,16.3425356,119.8927296,1,0,1.333333333,0,0,1.333333333
1992,16.3602246,119.9881448,0,0,1.666666667,0,0,1.5
1998,16.3425356,119.8927296,1,0,1.666666667,1,0,1.333333333
2008,17.9749654,-67.0465664,1,0,2,1,0,2
2009,25.2048493,55.2707828,0,0,1.333333333,0,0,1.166666667
1994,1.352083,103.819836,0,0,1.333333333,0,0,1.333333333
1994,4.1754959,73.5093474,0,0,1.166666667,1,0,1.333333333
1994,4.1754959,73.5093474,0,0,1.166666667,1,0,1.333333333
1999,4.1754959,73.5093474,1,0,1.333333333,0,0,1.333333333
2012,16.2982564,119.9856157,0,0,1.5,2,1,2.5
1999,4.1754959,73.5093474,1,0,1.333333333,0,0,1.333333333
2018,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.25
2012,4,96.5,0,0,1.166666667,1,1,2
2018,25.0273356,-81.5357506,2,0,2.166666667,1,0,2.25
2012,4,96.5,0,0,1.166666667,1,1,2
2017,29.5508922,34.9593004,1,0,2,3,0,2.4
1989,21.4389123,-158.0000565,0,0,1.25,0,0,1
