restored,lat,lon,remoteness,cumulative_impacts_mean,cumulative_impacts_trend,baa_n,baa_mean,baa_trend,coral_diversity,year_first_anomaly,number_of_anomalies_2100
1,26,-80.5,0.049757298,1.580841144,0.045815047,0,1.416666667,0.018404118,57,2044,65
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,25,-82,0.26894066,1.269540934,0.022518999,7,1.861111111,0.036679537,56,2036,118
1,25,-82,0.26894066,1.269540934,0.022518999,7,1.861111111,0.036679537,56,2036,118
1,25,-82,0.26894066,1.269540934,0.022518999,7,1.861111111,0.036679537,56,2036,118
1,15.5,120,0.14037295,1.668435599,0.06712214,3,1.611111111,0.034491634,566,2053,57
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,21.5,-158,0.057469476,0.949685953,-0.021537738,1,0.861111111,-0.001415701,61,2050,115
1,1,123.5,0.27732182,1.045205304,0.085945245,1,1.694444444,-0.002702703,569,2082,21
1,4.5,73.5,0.11315006,0.778898468,0.095142673,2,1.5,0.017503218,244,2047,95
1,11.5,123.5,0.13450937,1.196407698,0.132559411,2,1.694444444,0.014285714,571,2064,21
1,20.5,-87.5,0.11163626,1.344752925,0.0744569,5,1.722222222,0.035006435,57,2068,11
1,9,124.5,0.07652731,1.372739568,0.087514041,0,1.472222222,0.004761905,569,2020,68
1,-16.5,-152,7.903341,0.849790525,0.022147635,0,1.277777778,-0.002831403,175,2058,27
1,24.5,-83.5,0.5664302,1.279535869,0.002573235,3,1.666666667,0.021106821,56,2048,59
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,-2,121,0.330474,2.430455495,0.08595407,0,1.666666667,0.006949807,562,2077,65
1,18.5,-65,0.34832406,1.612926953,0.065407322,4,1.861111111,0.030501931,55,2067,41
1,18.5,-65,0.34832406,1.612926953,0.065407322,4,1.861111111,0.030501931,55,2067,41
1,18.5,-65,0.34832406,1.612926953,0.065407322,4,1.861111111,0.030501931,55,2067,41
1,-4,55.5,4.610229,0.478770593,0.073515074,3,1.583333333,0.021492921,302,2033,141
1,18.5,-65,0.34832406,1.612926953,0.065407322,4,1.861111111,0.030501931,55,2067,41
1,18.5,-65,0.34832406,1.612926953,0.065407322,4,1.861111111,0.030501931,55,2067,41
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,18,-65,0.41022912,1.65271302,0.081015895,4,1.833333333,0.027799228,55,2067,50
1,18,-67,0.10080886,1.448162749,0.109634897,3,1.805555556,0.023552124,57,2068,19
1,18,-67,0.10080886,1.448162749,0.109634897,3,1.805555556,0.023552124,57,2068,19
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,16.5,119.5,0.102151915,1.281105281,0.0938147,5,1.75,0.036164736,565,2053,50
1,9,-84,0.23122089,0.765469043,0.047676949,5,1.694444444,0.026383526,24,2067,39
1,18.5,-65.5,0.19203804,1.323503272,0.056709596,4,1.75,0.028442728,56,2067,46
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,28,-81,0.055451516,0,0,1,1.277777778,0.011325611,10,2048,103
1,26,51.5,0.08238332,0.927385876,0.070562454,4,1.722222222,0.005405405,107,2033,130
1,29.5,34.5,0.105041705,1.563972916,0.12491214,9,1.861111111,0.061132561,302,2021,142
1,25,-81,0.17652258,1.419930651,0.036301484,8,1.944444444,0.043758044,56,2048,67
1,19.5,-104.5,0.07376286,2.774779508,0.040159657,4,1.833333333,0.031402831,24,2033,107
1,30,34.5,0.13291189,3.117835037,0.148352056,4,1.555555556,0.047876448,302,2037,141
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
1,25.5,-80.5,0.13014986,1.814475289,0.038172673,0,1.5,0.026769627,56,2048,63
1,26,-80.5,0.049757298,1.580841144,0.045815047,0,1.416666667,0.018404118,57,2044,65
1,20,-80.5,0.87385446,1.114431373,0.019064838,1,1.5,0.018790219,60,2094,9
1,-6,39,0.06095428,0.694551429,0.079389034,2,1.75,0.016602317,277,2068,95
1,18.5,-65.5,0.19203804,1.323503272,0.056709596,4,1.75,0.028442728,56,2067,46
1,18.5,-65.5,0.19203804,1.323503272,0.056709596,4,1.75,0.028442728,56,2067,46
1,25.5,-82,0.29810607,0.628591884,0.019800062,5,1.75,0.033333333,53,2042,133
